"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Poll Votes","Tags"
"10/7/2024 11:44 am","7249097290458505217","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7249097290458505217","Let me break through the political noise around Chicago's public schools to remind you that 634 principals are in their schools right now, welcoming over 323,000 students and 44,000 teachers and staff into another week. Their strong leadership and dedication to establishing a positive learning environment always deserve celebration, especially at this time. #PrincipalPrideChi #ThankAPrincipal",,"","","","","","","","","155","151","151","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/13/2025 10:40 am","7295844358434562050","LinkedIn","Post","Text","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7295844358434562050","There’s a lot of talk about federal funding in public schools—how it’s used, whether it’s effective, and if it’s necessary. But beyond the headlines and sound bites, I don’t see nearly enough discussion rooted in facts.

Here are three things you should know before weighing in on the future of federal education funding:

1️⃣ Federal funds were introduced to supplement state and local investments.
Title I, for example, was launched in 1965 when President Johnson declared “a national goal of Full Educational Opportunity,” charging the federal government with more actively supporting strong schools, especially in communities with limited financial wealth.

2️⃣ Even with federal support, the bulk of school funding comes from state and local sources.
In a district like Chicago Public Schools (CPS), where 72% of students are economically disadvantaged, federal funds make up approximately 16% (or $1.3 billion) of the district’s $8.4 billion operating budget. While essential, these funds supplement—not substitute—local investment.

3️⃣ Chicago’s principals have more flexibility than most in using these funds to meet student needs.
In many school districts, the use of federal dollars is decided centrally. But in CPS, principals work alongside Local School Councils to direct much of the funding where it will have the greatest local impact—whether through additional instructional staff, tutoring and after-school programs, mental health supports, or strategies to improve student attendance. This flexibility allows leaders to tailor resources to the specific needs of their school communities.

Over the next few weeks, I will highlight how different principals use federal funds to drive real student outcomes. I hope these examples will ground the debate in facts—because the future of our schools and the students they serve deserve nothing less.",,"","","","","","","","","150","142","142","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CPS Budget 2025"
"5/25/2025 11:27 am","7332442298842062849","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7332442298842062849","This past week, I had the opportunity to spend time with committed and talented leaders from across the country through the Pahara Institute.

Our setting—Lone Rock Retreat—offered space for deep reflection, honest dialogue, and inspiration. 

Here are three takeaways I’m carrying into the week ahead:

🌲 Nature sharpens leadership.
 I move my body most days and try to spend time outdoors, but being in the mountains—truly unplugged—reminded me that time in nature isn’t a luxury; it’s a leadership strategy. I’m adding 15 minutes to my morning commute to walk along the river this week. My team and the leaders we serve deserve the version of me that shows up sharper and more at ease.

🗣 Leadership shows up in every story.
From diverse texts to shared experiences, every person I encountered had something to teach me about what it means to lead with integrity. I’ll bring a few of those texts into conversations this week; reflection is more powerful when shared.

📚 Public education is still worth fighting for.
In a time when the noise around schools can be overwhelming, being in a community with 20+ other leaders recentered me. This work matters. This week, I’ll continue to elevate the stories of the principals, teams, and scholars who inspire me daily.

Experiences like this remind me: leadership is both a practice and a privilege. 

I’m grateful for the space to grow, and even more thankful for the community (at work, at home, and in the seminar room) that pushes me to show up, stay present, and do better.",,"","","","","","","","","146","130","130","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/23/2025 12:01 pm","7409292105673699328","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7409292105673699328","Principal Barton Dassinger's recent Chicago Tribune op-ed (linked in the comments) tells a powerful story about what’s possible when school leaders have the flexibility and data to innovate with care for students and families.

At Cesar E. Chávez Elementary, Barton and his team increased attendance to 96% by focusing on daily practice rather than distant metrics. Through real-time data and daily adult routines, the Chávez team responds immediately when students are absent — calling families, problem-solving barriers, and, if needed, literally showing up at doors to walk students to school.

What stands out most is how the team’s approach and routines serve relationships. Data is used as a tool for connection and trust, helping Chávez evolve into one of Illinois’ top-performing neighborhood elementary schools.

Barton also emphasizes the importance of trusting principals to work with their communities, noting that his role as an Independent School Principal has given him the autonomy to design staffing, schedules, and support that truly meet his community’s needs. 

A powerful reminder that solutions to even pressing challenges, such as chronic absenteeism, exist — if we trust educators and families to pursue them.

This is what strong, equity-driven school leadership looks like: showing up every day, utilizing data effectively, and building systems rooted in trust. 

Congratulations to Barton and the Chávez community for modeling what’s possible for schools across Chicago.",,"","","","","","","","","138","128","128","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/20/2026 10:10 am","7440776697383321600","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7440776697383321600","Wishing all Chicago Public Schools leaders a restful and energizing spring break. 🌷

You’ve poured so much into your students, staff, and school communities this year. We hope this break gives you the space to truly decompress, whether that means spending time with family, enjoying quiet moments, traveling, or simply doing whatever brings you joy.

Personally, I am looking forward to napping with my third grader, shopping for Easter-wear with my sixth grader, watching my eighth grader hoop, and sneaking in a few local college visits with my sophomore. Oh, and maybe I’ll read one of the many books piled on my nightstand.

How about you? What’s on the list for you next week?!?

Whatever you choose, please know The Chicago Public Education Fund is grateful for your leadership and remains here to support you every step of the way. 💙",,"4,396","4,396","","2,811","","","","3.12%","137","135","135","","","","","","","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/21/2025 10:00 am","7341862933439680512","LinkedIn","Post","Text","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7341862933439680512","Calling all visionary leaders in education! 
The Chicago Education Alliance (CEA) is launching as a new field catalyst and is searching for its founding Executive Director.

This is a unique opportunity to lead a bold new force for education equity in Chicago. You'll build stronger relationships and alignment among diverse stakeholders, from grasstops to community-based organizations, to advance a shared student-centered policy agenda.

CEA is backed by multi-year startup funding and a strong coalition of civic and community partners. If you're an entrepreneurial leader with vision, courage, and a deep commitment to improving outcomes for young people, especially those furthest from opportunity, we want to hear from you!

Applications close: June 30, 11:59 PM CT
Compensation: $200,000 - $300,000 annually

Learn more about this impactful role and apply today! 🔗 [https://lnkd.in/djRSW5qJ] 
",,"","","","","","","","","130","128","128","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9/11/2025 3:59 pm","7372010771662376960","LinkedIn","Post","Video","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7372010771662376960","I was excited to start my day yesterday by listening to Barry Tyler Jr. testify to the Chicago Board of Education about the work of The Chicago Public Education Fund. Learning happens in schools because leaders help create the conditions that foster student success every day. Our team believes in the power of their leadership. Barry's words clearly communicate our gratitude for their service and collaboration.
",,"","","","","","","","","128","126","126","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6/6/2025 11:14 am","7336787633303339009","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:ugcPost:7336787633303339009","Last night, we closed out the 2024–25 school year with more than 100 educators, partners, and civic leaders—a powerful reminder that when we come together on behalf of Chicago’s students, we get results.

This year, The Fund supported over 250 educators—principals, assistant principals, and other school leaders, whose work reached more than 140,000 students across Chicago Public Schools.

Together, we:
✅ Concluded the first cohort of the Malott Educator Fellowship, with the goal of retaining strong leaders in the schools that need them the most

✅ Expanded our Educator Advisory Group to learn from school leaders as we shape our program approach and policy agenda

✅ Built out the Local School Council Working Group to strengthen community decision-making

And so much more!

Because the work in schools never stops, today, we are looking ahead to support school leaders and their teams in the 2025-26 school year.

Registration for programs is now open!
➡️ https://lnkd.in/g9rySmPJ

If you’re a school leader—or you know one—who’s ready to lead boldly next year, we hope you’ll join us.",,"","","","","","","","","127","120","120","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/6/2026 3:48 pm","7425656550817443840","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7425656550817443840","The Fund is proud to celebrate Principal Regina Latimer-Lake of Earle STEM Elementary, named Illinois’ 2026 Elementary Principal of the Year!

Selected from 20 regional winners across the state, this honor reflects the real, measurable impact Regina has on students every day. The Illinois Principals Association recognizes leaders whose schools demonstrate strong instructional leadership, student growth, and inclusive school culture—and under Regina’s leadership, Earle STEM rose to the very top.

Between 2022 and 2025, Regina and her team led a 30 percentage-point increase in math growth (from 28% to 58.5%), according to ISBE data.

Regina models perseverance, lifelong learning, and a deep belief in her students’ potential. As her son shared during the celebration, she stayed the course in her own education “not just for herself, but for her students”—a lesson that shows up in classrooms at Earle every day.

At The Chicago Public Education Fund, we believe great principals are powerful drivers of student success. Regina’s statewide recognition is a reminder of what’s possible when talented, student-centered leaders are supported to lead and thrive.

Congratulations to Regina and the entire Earle STEM community. Your impact on students—and Chicago’s future—is unmistakable 💙✨",,"2,608","2,608","","1,747","","","","4.83%","126","117","117","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/15/2025 6:17 pm","7384366815508013056","LinkedIn","Post","Photo","Heather Y. Anichini"," ","https://linkedin.com/feed/update/urn:li:share:7384366815508013056","💜 Our next Growth Leader Award Finalist is Principal Donnell Rader of Beasley Elementary School! 💜

For the past seven years, Principal Rader has led Beasley with two bold, data-driven priorities: strengthening teacher leadership and advancing literacy instruction across every grade level. His goal has been clear: to reach 70% literacy growth schoolwide while building a lasting culture of professional development for teachers.

To achieve this, he developed a distributed leadership model that empowers assistant principals, coaches, and teacher leaders to guide instruction and provide collaborative, targeted support. At the same time, he launched a comprehensive literacy initiative—offering structured professional learning, peer observations, and innovative tools like Beasley’s “literacy planning placemat.”

The results are remarkable:
 📖 Students reading at/above grade level jumped from 30% → 62% (iReady).
 📉 Suspensions dropped by double digits for the second year in a row, strengthening school culture and reducing lost learning time.
 🎓 Chronic absenteeism decreased nearly 10 percentage points in just two years, from 44% → 35%.

Principal Rader’s leadership demonstrates how investing in teachers directly fuels student success. Through collaboration, consistent coaching, and high expectations for both staff and students, he has built a model of sustainable improvement that is inspiring schools beyond Beasley.

👏 Please join us in celebrating Principal Rader’s outstanding leadership, his focus on literacy, and his unwavering belief in the potential of every student.",,"","","","","","","","","122","99","99","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
