"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"01-16-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-17-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-18-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-19-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-20-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-21-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-22-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-23-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-24-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-25-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-26-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-27-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-28-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-29-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-30-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"01-31-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-01-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-02-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-03-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-04-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-05-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-06-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-07-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-08-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-09-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-10-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-11-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-12-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-13-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-14-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-15-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-16-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-17-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-18-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"02-19-2022","The Chicago Public Education Fund","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
