"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Reels Skip Rate","Crossposted Reels Views","Facebook Reels Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Video View Time (Seconds)","Poll Votes","Tags"
"2/15/2024 8:40 am","7163904824613261315","LinkedIn","Post","Photo","The Chicago Public Education Fund"," ","https://linkedin.com/feed/update/urn:li:share:7163904824613261315","Chicago educators! Interested in learning more about the 2024 Design Challenge? Join our information session at 9:30 a.m. This year's challenge is focused on applying design thinking to a school-specific challenge impacting a priority focus group of students, staff, or caregivers. Take advantage of this opportunity!

Register here: https://lnkd.in/ecxniVjt

#SchoolInnovation #DesignChallenge #DesignInnovation",,"215","215","","","","","3.26%","7","2","2","","","","","","","0","0","","5","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:44 pm","1757928718272516288","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757928718272516288","We will host our second webinar with @leadanddesign on Thursday, February 15, at 9:30 a.m. Register now! https://t.co/ploszdInFS

The Design Challenge is open to all CPS principals, assistant principals, and teacher leaders! Happy designing!

#DesignChallenge #Innovation https://t.co/pnXz1SW4RN","https://us02web.zoom.us/meeting/register/tZYlcuurqzotG9ZVEejt_6KjDjM8zsgnaq5p#/registration, https://twitter.com/TheFundChicago/status/1757928718272516288/photo/1","119","119","","","","3,109","2.52%","3","1","1","","","","","","","0","0","","0","","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:38 pm","1757927340544250019","X","Post","Link","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757927340544250019","We will host our second webinar in partnership with Leadership + Design on Thursday, February 15, at 9:00 a.m. Register now! https://t.co/ploszdInFS

The Design Challenge is open to all CPS principals, assistant principals, and teacher leaders! Happy designing!","https://us02web.zoom.us/meeting/register/tZYlcuurqzotG9ZVEejt_6KjDjM8zsgnaq5p#/registration","","","","","","3,108","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:35 pm","1757926464144474522","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757926464144474522","Chicago educators! Submissions for the Design Challenge are still open. The Design Challenge invites educators to submit a Design Opportunity that represents a challenge impacting a priority focus group of students in their school community. https://t.co/XH7uvWAyBz https://t.co/rbjbRW9bSX","https://twtr.to/7B0CX, https://twitter.com/TheFundChicago/status/1757926464144474522/photo/1","160","160","","","","3,109","8.75%","14","0","0","","","","","","","0","0","","10","","4","14","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:34 pm","1757926235550720185","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757926235550720185","Chicago educators! Submissions for the Design Challenge are still open. The Design Challenge invites educators to submit a Design Opportunity that represents a challenge impacting a priority focus group of students in their school community. https://t.co/kQvnKz8hrH https://t.co/QCJLLRWyxz","https://twtr.to/ib9oc, https://twitter.com/TheFundChicago/status/1757926235550720185/photo/1","","","","","","3,108","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:33 pm","1757926071993868401","X","Post","Link","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757926071993868401","Chicago educators! Submissions for the Design Challenge are still open. The Design Challenge invites educators to submit a Design Opportunity that represents a challenge impacting a priority focus group of students in their school community. https://t.co/kQvnKz8hrH","https://twtr.to/ib9oc","","","","","","3,108","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:29 pm","171215529722880_402852422296866","Facebook","Post","Link","The Chicago Public Education Fund"," ","https://www.facebook.com/256370493611727/posts/402852422296866","Calling all educators! Submissions for the Design Challenge are still open. The Design Challenge invites all public schools in Chicago to submit a Design Opportunity that represents a challenge impacting a priority focus group of students in their school community.
 
We will host our second webinar in partnership with Leadership + Design on Thursday, February 15 at 9:30 a.m. Register now! https://us02web.zoom.us/meeting/register/tZYlcuurqzotG9ZVEejt_6KjDjM8zsgnaq5p#/registration
 
This opportunity is open to all CPS principals, assistant principals, and teacher leaders! Happy designing!
 
#DesignChallenge #SchoolInnovation #DesignOpportunity","https://us02web.zoom.us/meeting/register/tZYlcuurqzotG9ZVEejt_6KjDjM8zsgnaq5p#/registration","60","60","0","49","49","","0%","0","0","0","","0","0","0","0","0","0","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 6:25 pm","7163689797654421504","LinkedIn","Post","Link","The Chicago Public Education Fund"," ","https://linkedin.com/feed/update/urn:li:share:7163689797654421504","Calling all educators! Submissions for the Design Challenge are still open. The Design Challenge invites all public schools in Chicago to submit a Design Opportunity that represents a challenge impacting a priority focus group of students in their school community.

We will host our second webinar in partnership with Leadership + Design on Thursday, February 15 at 9:30 a.m. Register now! https://lnkd.in/ecxniVjt

This opportunity is open to all CPS principals, assistant principals, and teacher leaders! Happy designing!

#DesignChallenge #SchoolInnovation #DesignOpportunity","https://us02web.zoom.us/meeting/register/tZYlcuurqzotG9ZVEejt_6KjDjM8zsgnaq5p#/registration","289","289","","","","","3.81%","11","1","1","","","","","","","1","0","","9","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/12/2024 5:15 pm","1757181630152679732","X","Post","Photo","'@TheFundChicago"," ","https://twitter.com/TheFundChicago/status/1757181630152679732","Our Design challenge is in full swing! Thanks to our friends at Roosevelt High School, Albany Park Multicultural Academy, and West Park STEAM Academy for their idea submissions. You can view them now on the Design Challenge 2024 Website.

Register here: https://t.co/RT3Gt4fkWB. https://t.co/yb72MW01h6","https://thefundchicago.brightidea.com/designchallenge2024, https://twitter.com/TheFundChicago/status/1757181630152679732/photo/1","108","108","","","","3,109","2.78%","3","3","3","","","","","","","0","0","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/12/2024 5:11 pm","7162946289930874882","LinkedIn","Post","Photo","The Chicago Public Education Fund"," ","https://linkedin.com/feed/update/urn:li:share:7162946289930874882","Our Design challenge is in full swing! Thanks to our friends at Roosevelt High School, Albany Park Multicultural Academy, and West Park STEAM Academy for their idea submissions. You can view them now on the Design Challenge 2024 Website. 
 
If you'd like to add your ideas to this growing community and a chance at $10,000 for your school, click the link below and start your submission today! 

Still on the fence about competing this year? We have another opportunity for you to learn about this year's challenge, ask questions, and get insider tips on making your application shine. Join us on Thursday, February 15th at 9:30 a.m.
 
Register here: https://lnkd.in/ecxniVjt.

#SchoolInnovation #DesignChallenge #DesignInnovation",,"530","530","","","","","7.92%","42","15","15","","","","","","","1","4","","22","","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
