"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-08-2026","X","'@TheFundChicago","3,063","0","0","0","0","1","9","0","1","11.11%","0","0","0","0","","0","1","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-08-2026","Facebook","The Chicago Public Education Fund","2,502","0","","0","0","0","116","21","6","5.17%","5","0","0","1","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-08-2026","LinkedIn","The Chicago Public Education Fund","5,630","5","5","0","0","0","411","37","30","7.3%","3","0","0","27","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-09-2026","X","'@TheFundChicago","3,063","0","0","2","2","2","58","1","3","5.17%","0","0","2","0","","1","0","2","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","2","0","0","","","","","0","","0","","","","","","","",""
"01-09-2026","Facebook","The Chicago Public Education Fund","2,504","1","","2","2","0","157","38","4","2.55%","3","1","0","0","","0","","","","","","2","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-09-2026","LinkedIn","The Chicago Public Education Fund","5,634","2","2","2","2","0","350","24","23","6.57%","5","0","0","18","","","","","","","","","","","","","","","","0","","","","","2","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-10-2026","X","'@TheFundChicago","3,063","0","0","0","0","2","27","1","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-10-2026","Facebook","The Chicago Public Education Fund","2,503","0","","0","0","0","143","11","11","7.69%","9","1","0","1","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-10-2026","LinkedIn","The Chicago Public Education Fund","5,636","6","6","0","0","0","173","11","20","11.56%","3","0","0","17","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-11-2026","X","'@TheFundChicago","3,063","0","0","0","0","1","12","0","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","1","0","","","","","0","","0","","","","","","","",""
