"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-01-2022","X","'@TheFundChicago","","","","0","0","2","","","","","","0","","","","","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","2","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-01-2022","Facebook","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-01-2022","LinkedIn","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-02-2022","X","'@TheFundChicago","","","","0","0","1","","","","","","0","","","","","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-02-2022","Facebook","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-02-2022","LinkedIn","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-03-2022","X","'@TheFundChicago","","","","1","1","1","","","","","","0","","","","","","1","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-03-2022","Facebook","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-03-2022","LinkedIn","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-04-2022","X","'@TheFundChicago","","","","1","1","5","","","","","","0","","","","","","1","0","0","0","","","","","","","","","0","","","","","","","","","","","","","4","0","1","0","0","","","","","0","","0","","","","","","","",""
"01-04-2022","Facebook","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-04-2022","LinkedIn","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-05-2022","X","'@TheFundChicago","","","","1","1","1","","","","","","0","","","","","","1","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","1","0","0","","","","","0","","0","","","","","","","",""
"01-05-2022","Facebook","The Chicago Public Education Fund","","","","0","0","0","","","","","","0","","","","","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
